Gen: 1
     [0.18098488094509396, 1.0, 0.7058330107110595]
     [0.16981391932423334, 1.0, 0.42999096657633246]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.2206724000734529, 1.0, 0.712608078461737]
     [0.16981391932423334, 1.0, 0.6303393986320815]
     [0.16388412805288607, 1.0, 0.751967995870435]
     [0.16388412805288607, 1.0, 0.751967995870435]
     [0.19542296627287753, 1.0, 0.7335140018066847]
     [0.2143447389361572, 1.0, 0.6680862046715705]
     [0.18194129889208546, 1.0, 0.670344560588463]

Gen: 2
     [0.18098488094509396, 1.0, 0.7058330107110595]
     [0.16981391932423334, 1.0, 0.42999096657633246]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.2206724000734529, 1.0, 0.712608078461737]
     [0.16981391932423334, 1.0, 0.6303393986320815]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16388412805288607, 1.0, 0.751967995870435]
     [0.19542296627287753, 1.0, 0.7335140018066847]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]

Gen: 3
     [0.18098488094509396, 1.0, 0.7058330107110595]
     [0.16981391932423334, 1.0, 0.42999096657633246]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.2206724000734529, 1.0, 0.712608078461737]
     [0.16981391932423334, 1.0, 0.6303393986320815]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.19542296627287753, 1.0, 0.7335140018066847]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]

Gen: 4
     [0.18098488094509396, 1.0, 0.7058330107110595]
     [0.16981391932423334, 1.0, 0.42999096657633246]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.2206724000734529, 1.0, 0.712608078461737]
     [0.16981391932423334, 1.0, 0.6303393986320815]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.19542296627287753, 1.0, 0.7335140018066847]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]

Gen: 5
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.16981391932423334, 1.0, 0.42999096657633246]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.2206724000734529, 1.0, 0.712608078461737]
     [0.16981391932423334, 1.0, 0.6303393986320815]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]

Gen: 6
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.16981391932423334, 1.0, 0.42999096657633246]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.2206724000734529, 1.0, 0.712608078461737]
     [0.16981391932423334, 1.0, 0.6303393986320815]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]

Gen: 7
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.16981391932423334, 1.0, 0.42999096657633246]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.2206724000734529, 1.0, 0.712608078461737]
     [0.16981391932423334, 1.0, 0.6303393986320815]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.16145865213931565, 1.0, 0.7542263517873274]
     [0.16145865213931565, 1.0, 0.7542263517873274]

Gen: 8
     [0.23482738568892697, 1.0, 0.6262098335269067]
     [0.16981391932423334, 1.0, 0.42999096657633246]
     [0.23482738568892697, 1.0, 0.6262098335269067]
