Gen: 2
     id:3 |Total fit:0.7648462618121156 |fitness:[0.10863660109471064, 0.5819947635509595, 0.07421489716644546]
     id:17 |Total fit:1.1188640245454595 |fitness:[0.10496757330449802, 0.8919817622987651, 0.12191468894219647]
     id:21 |Total fit:1.0897260317241786 |fitness:[0.10682555646052252, 0.8645353400396628, 0.11836513522399328]
     id:30 |Total fit:0.963743987757008 |fitness:[0.09310125421468811, 0.7466792884660319, 0.12396344507628801]
     id:32 |Total fit:0.8623423453890638 |fitness:[0.10765871522311879, 0.6496551972056295, 0.10502843296031562]
     id:33 |Total fit:0.9779858638690264 |fitness:[0.10148934191323153, 0.7527065970870005, 0.12378992486879437]
     id:43 |Total fit:0.792768180617307 |fitness:[0.11220001721079134, 0.575122673105382, 0.10544549030113366]
     id:46 |Total fit:0.7396309236586804 |fitness:[0.11874316023159814, 0.5327577633053138, 0.08813000012176857]
     id:48 |Total fit:0.7337840858931823 |fitness:[0.12531585713652416, 0.5206791806215437, 0.0877890481351144]

Gen: 3
     id:3 |Total fit:0.7648462618121156 |fitness:[0.10863660109471064, 0.5819947635509595, 0.07421489716644546]
     id:17 |Total fit:1.1188640245454595 |fitness:[0.10496757330449802, 0.8919817622987651, 0.12191468894219647]
     id:21 |Total fit:1.0897260317241786 |fitness:[0.10682555646052252, 0.8645353400396628, 0.11836513522399328]
     id:30 |Total fit:0.963743987757008 |fitness:[0.09310125421468811, 0.7466792884660319, 0.12396344507628801]
     id:32 |Total fit:0.8623423453890638 |fitness:[0.10765871522311879, 0.6496551972056295, 0.10502843296031562]
     id:33 |Total fit:0.9779858638690264 |fitness:[0.10148934191323153, 0.7527065970870005, 0.12378992486879437]
     id:43 |Total fit:0.792768180617307 |fitness:[0.11220001721079134, 0.575122673105382, 0.10544549030113366]
     id:46 |Total fit:0.7396309236586804 |fitness:[0.11874316023159814, 0.5327577633053138, 0.08813000012176857]
     id:48 |Total fit:0.7337840858931823 |fitness:[0.12531585713652416, 0.5206791806215437, 0.0877890481351144]

Gen: 4
     id:3 |Total fit:0.7648462618121156 |fitness:[0.10863660109471064, 0.5819947635509595, 0.07421489716644546]
     id:16 |Total fit:1.0182428435059265 |fitness:[0.10144892263053908, 0.7992355024055312, 0.1175584184698562]
     id:22 |Total fit:0.9518669905942988 |fitness:[0.10174576531956006, 0.7395675436021257, 0.11055368167261304]
     id:30 |Total fit:0.963743987757008 |fitness:[0.09310125421468811, 0.7466792884660319, 0.12396344507628801]
     id:33 |Total fit:0.9779858638690264 |fitness:[0.10148934191323153, 0.7527065970870005, 0.12378992486879437]
     id:39 |Total fit:0.7732130709245784 |fitness:[0.1098852526987477, 0.5736787552349512, 0.08964906299087953]
     id:46 |Total fit:0.7396309236586804 |fitness:[0.11874316023159814, 0.5327577633053138, 0.08813000012176857]
     id:48 |Total fit:0.7337840858931823 |fitness:[0.12531585713652416, 0.5206791806215437, 0.0877890481351144]
     id:49 |Total fit:0.7793113112482379 |fitness:[0.10266671650262812, 0.5841157051531691, 0.09252888959244061]

Gen: 5
     id:3 |Total fit:0.7648462618121156 |fitness:[0.10863660109471064, 0.5819947635509595, 0.07421489716644546]
     id:16 |Total fit:1.0182428435059265 |fitness:[0.10144892263053908, 0.7992355024055312, 0.1175584184698562]
     id:22 |Total fit:0.9518669905942988 |fitness:[0.10174576531956006, 0.7395675436021257, 0.11055368167261304]
     id:30 |Total fit:0.963743987757008 |fitness:[0.09310125421468811, 0.7466792884660319, 0.12396344507628801]
     id:33 |Total fit:0.9779858638690264 |fitness:[0.10148934191323153, 0.7527065970870005, 0.12378992486879437]
     id:39 |Total fit:0.7732130709245784 |fitness:[0.1098852526987477, 0.5736787552349512, 0.08964906299087953]
     id:46 |Total fit:0.7396309236586804 |fitness:[0.11874316023159814, 0.5327577633053138, 0.08813000012176857]
     id:48 |Total fit:0.7337840858931823 |fitness:[0.12531585713652416, 0.5206791806215437, 0.0877890481351144]
     id:49 |Total fit:0.7793113112482379 |fitness:[0.10266671650262812, 0.5841157051531691, 0.09252888959244061]

Gen: 6
     id:3 |Total fit:0.7648462618121156 |fitness:[0.10863660109471064, 0.5819947635509595, 0.07421489716644546]
     id:16 |Total fit:1.0182428435059265 |fitness:[0.10144892263053908, 0.7992355024055312, 0.1175584184698562]
     id:22 |Total fit:0.9518669905942988 |fitness:[0.10174576531956006, 0.7395675436021257, 0.11055368167261304]
     id:25 |Total fit:0.879299287451154 |fitness:[0.10077917946248438, 0.6599723199146831, 0.11854778807398658]
     id:30 |Total fit:0.963743987757008 |fitness:[0.09310125421468811, 0.7466792884660319, 0.12396344507628801]
     id:39 |Total fit:0.7732130709245784 |fitness:[0.1098852526987477, 0.5736787552349512, 0.08964906299087953]
     id:46 |Total fit:0.7396309236586804 |fitness:[0.11874316023159814, 0.5327577633053138, 0.08813000012176857]
     id:48 |Total fit:0.7337840858931823 |fitness:[0.12531585713652416, 0.5206791806215437, 0.0877890481351144]
     id:49 |Total fit:0.7793113112482379 |fitness:[0.10266671650262812, 0.5841157051531691, 0.09252888959244061]

Gen: 7
     id:3 |Total fit:0.7648462618121156 |fitness:[0.10863660109471064, 0.5819947635509595, 0.07421489716644546]
     id:16 |Total fit:1.0182428435059265 |fitness:[0.10144892263053908, 0.7992355024055312, 0.1175584184698562]
     id:22 |Total fit:0.9518669905942988 |fitness:[0.10174576531956006, 0.7395675436021257, 0.11055368167261304]
     id:25 |Total fit:0.879299287451154 |fitness:[0.10077917946248438, 0.6599723199146831, 0.11854778807398658]
