[0.1310343394030099, 1.0, 0.09168127624062777]
[0.12404173941963914, 1.0, 0.09997477018223691]
[0.12399719678342776, 1.0, 0.0958150848433487]
[0.15223722814144366, 1.0, 0.07629755658918741]
[0.13094169071969022, 1.0, 0.08602720938807988]
[0.12628490657924432, 1.0, 0.0999294858939442]
[0.15223722814144366, 1.0, 0.07629755658918741]
[0.1429058428060673, 1.0, 0.08659002839971794]
[0.12526874057180867, 1.0, 0.0937708226861346]
[0.12399719678342776, 1.0, 0.0958150848433487]
[0.12298578199052132, 1.0, 0.09191416686613317]
[0.12404173941963914, 1.0, 0.09997477018223691]
[0.12298578199052132, 1.0, 0.09191416686613317]
[0.12628490657924432, 1.0, 0.0999294858939442]
[0.12298578199052132, 1.0, 0.09191416686613317]
[0.12404173941963914, 1.0, 0.09997477018223691]
[0.1283457458812909, 1.0, 0.09237347893310217]
[0.13094169071969022, 1.0, 0.08602720938807988]
[0.12526874057180867, 1.0, 0.0937708226861346]
[0.12526874057180867, 1.0, 0.0937708226861346]
