Gen: 2
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.15463540367506443, 1.0, 0.09417191209672723]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.16594537291095035, 1.0, 0.08952703795470278]

Gen: 3
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.15463540367506443, 1.0, 0.09417191209672723]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.16594537291095035, 1.0, 0.08952703795470278]

Gen: 4
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.15463540367506443, 1.0, 0.09417191209672723]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.16594537291095035, 1.0, 0.08952703795470278]

Gen: 5
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.16594537291095035, 1.0, 0.08952703795470278]
     [0.17450631911532385, 1.0, 0.08856312953247207]

Gen: 6
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.14904485740417395, 1.0, 0.10154678190439839]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.16594537291095035, 1.0, 0.08952703795470278]
     [0.17450631911532385, 1.0, 0.08856312953247207]

Gen: 7
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.14904485740417395, 1.0, 0.10154678190439839]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.16594537291095035, 1.0, 0.08952703795470278]
     [0.17450631911532385, 1.0, 0.08856312953247207]

Gen: 8
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.14904485740417395, 1.0, 0.10154678190439839]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.16594537291095035, 1.0, 0.08952703795470278]
     [0.15148312131038497, 1.0, 0.09997477018223691]
     [0.17450631911532385, 1.0, 0.08856312953247207]

Gen: 9
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.14904485740417395, 1.0, 0.10154678190439839]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.14297102353038996, 1.0, 0.11031252628106017]
     [0.15704768437681882, 1.0, 0.08867957484522478]
     [0.15148312131038497, 1.0, 0.09997477018223691]
     [0.14477633657603725, 1.0, 0.10218076194049644]
     [0.17450631911532385, 1.0, 0.08856312953247207]

Gen: 10
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.14904485740417395, 1.0, 0.10154678190439839]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.17515797788309637, 1.0, 0.08836258482717575]
     [0.14297102353038996, 1.0, 0.11031252628106017]
     [0.15704768437681882, 1.0, 0.08867957484522478]
     [0.15148312131038497, 1.0, 0.09997477018223691]
     [0.14477633657603725, 1.0, 0.10218076194049644]
     [0.17450631911532385, 1.0, 0.08856312953247207]

Gen: 11
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.14904485740417395, 1.0, 0.10154678190439839]
     [0.15069842853579446, 1.0, 0.10114569249380576]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.17515797788309637, 1.0, 0.08836258482717575]
     [0.15525692192566726, 1.0, 0.0913448786704533]
     [0.14297102353038996, 1.0, 0.11031252628106017]
     [0.15704768437681882, 1.0, 0.08867957484522478]
     [0.15148312131038497, 1.0, 0.09997477018223691]
     [0.14477633657603725, 1.0, 0.10218076194049644]
     [0.17450631911532385, 1.0, 0.08856312953247207]

Gen: 12
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.14904485740417395, 1.0, 0.10154678190439839]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.1505799451234722, 1.0, 0.09551103319338332]
     [0.17515797788309637, 1.0, 0.08836258482717575]
     [0.15525692192566726, 1.0, 0.0913448786704533]
     [0.14297102353038996, 1.0, 0.11031252628106017]
     [0.15704768437681882, 1.0, 0.08867957484522478]
     [0.15103932817826557, 1.0, 0.09400371331164001]
     [0.14477633657603725, 1.0, 0.10218076194049644]
     [0.17450631911532385, 1.0, 0.08856312953247207]

Gen: 13
     [0.14474827471522408, 1.0, 0.10764075327178983]
     [0.14904485740417395, 1.0, 0.10154678190439839]
     [0.1520620271056789, 1.0, 0.09268399976710938]
     [0.1454082481084227, 1.0, 0.1020060939713674]
     [0.1505799451234722, 1.0, 0.09551103319338332]
     [0.17515797788309637, 1.0, 0.08836258482717575]
     [0.14297102353038996, 1.0, 0.11031252628106017]
     [0.15443689199301572, 1.0, 0.08946234611428461]
     [0.15704768437681882, 1.0, 0.08867957484522478]
     [0.15103932817826557, 1.0, 0.09400371331164001]
     [0.14477633657603725, 1.0, 0.10218076194049644]
     [0.17450631911532385, 1.0, 0.08856312953247207]

