Gen: 2
     id:24 |fitness:[24, 1.4188662492214985]
     id:63 |fitness:[63, 1.4188093101666803]
     id:6 |fitness:[6, 1.4172794979263696]
     id:89 |fitness:[89, 1.4152211462391737]
     id:39 |fitness:[39, 1.4135531459232413]
     id:80 |fitness:[80, 1.4080180482884617]
     id:65 |fitness:[65, 1.4071904088606104]
     id:99 |fitness:[99, 1.4071752596407952]
     id:36 |fitness:[36, 1.4058997471245616]
     id:15 |fitness:[15, 1.4029308237420646]

Gen: 3
     id:87 |fitness:[87, 1.4080180482884617]
     id:65 |fitness:[65, 1.4071904088606104]
     id:26 |fitness:[26, 1.4071752596407952]
     id:30 |fitness:[30, 1.4071752596407952]
     id:99 |fitness:[99, 1.4071752596407952]
     id:16 |fitness:[16, 1.4058997471245616]
     id:32 |fitness:[32, 1.4058997471245616]
     id:36 |fitness:[36, 1.4058997471245616]
     id:10 |fitness:[10, 1.4029308237420646]
     id:15 |fitness:[15, 1.4029308237420646]

Gen: 4
     id:40 |fitness:[40, 1.4058997471245616]
     id:56 |fitness:[56, 1.4058997471245616]
     id:58 |fitness:[58, 1.4058997471245616]
     id:94 |fitness:[94, 1.4058997471245616]
     id:95 |fitness:[95, 1.4058997471245616]
     id:10 |fitness:[10, 1.4029308237420646]
     id:15 |fitness:[15, 1.4029308237420646]
     id:34 |fitness:[34, 1.4029308237420646]
     id:41 |fitness:[41, 1.4029308237420646]
     id:61 |fitness:[61, 1.4029308237420646]

Gen: 5
     id:35 |fitness:[35, 1.4029308237420646]
     id:41 |fitness:[41, 1.4029308237420646]
     id:46 |fitness:[46, 1.4029308237420646]
     id:60 |fitness:[60, 1.4029308237420646]
     id:61 |fitness:[61, 1.4029308237420646]
     id:73 |fitness:[73, 1.4029308237420646]
     id:78 |fitness:[78, 1.4029308237420646]
     id:84 |fitness:[84, 1.4029308237420646]
     id:92 |fitness:[92, 1.4029308237420646]
     id:96 |fitness:[96, 1.4029308237420646]

Gen: 6
     id:72 |fitness:[72, 1.4029308237420646]
     id:73 |fitness:[73, 1.4029308237420646]
     id:78 |fitness:[78, 1.4029308237420646]
     id:81 |fitness:[81, 1.4029308237420646]
     id:84 |fitness:[84, 1.4029308237420646]
     id:91 |fitness:[91, 1.4029308237420646]
     id:92 |fitness:[92, 1.4029308237420646]
     id:93 |fitness:[93, 1.4029308237420646]
     id:96 |fitness:[96, 1.4029308237420646]
     id:97 |fitness:[97, 1.4029308237420646]

Gen: 7
     id:87 |fitness:[87, 1.4029308237420646]
     id:88 |fitness:[88, 1.4029308237420646]
     id:89 |fitness:[89, 1.4029308237420646]
     id:90 |fitness:[90, 1.4029308237420646]
     id:91 |fitness:[91, 1.4029308237420646]
     id:92 |fitness:[92, 1.4029308237420646]
     id:93 |fitness:[93, 1.4029308237420646]
     id:96 |fitness:[96, 1.4029308237420646]
     id:97 |fitness:[97, 1.4029308237420646]
     id:98 |fitness:[98, 1.4029308237420646]

Gen: 8
     id:88 |fitness:[88, 1.4029308237420646]
     id:89 |fitness:[89, 1.4029308237420646]
     id:90 |fitness:[90, 1.4029308237420646]
     id:91 |fitness:[91, 1.4029308237420646]
     id:92 |fitness:[92, 1.4029308237420646]
     id:93 |fitness:[93, 1.4029308237420646]
     id:96 |fitness:[96, 1.4029308237420646]
     id:97 |fitness:[97, 1.4029308237420646]
     id:98 |fitness:[98, 1.4029308237420646]
     id:99 |fitness:[99, 1.4029308237420646]

Gen: 9
     id:90 |fitness:[90, 1.4029308237420646]
     id:91 |fitness:[91, 1.4029308237420646]
     id:92 |fitness:[92, 1.4029308237420646]
     id:93 |fitness:[93, 1.4029308237420646]
     id:94 |fitness:[94, 1.4029308237420646]
     id:95 |fitness:[95, 1.4029308237420646]
     id:96 |fitness:[96, 1.4029308237420646]
     id:97 |fitness:[97, 1.4029308237420646]
     id:98 |fitness:[98, 1.4029308237420646]
