Gen: 2
     id:32 |fitness:[32, 0.7138869871919163]
     id:68 |fitness:[68, 0.7063707248644578]
     id:21 |fitness:[21, 0.7047851291988174]
     id:2 |fitness:[2, 0.6920754537171906]
     id:29 |fitness:[29, 0.6895689435444803]
     id:65 |fitness:[65, 0.6894466556846385]
     id:18 |fitness:[18, 0.6838774301702863]
     id:31 |fitness:[31, 0.6716525864341694]
     id:58 |fitness:[58, 0.6694090847426181]
     id:80 |fitness:[80, 0.6693360401452442]

Gen: 3
     id:29 |fitness:[29, 0.6895689435444803]
     id:65 |fitness:[65, 0.6894466556846385]
     id:90 |fitness:[90, 0.6883669782924817]
     id:18 |fitness:[18, 0.6838774301702863]
     id:31 |fitness:[31, 0.6716525864341694]
     id:58 |fitness:[58, 0.6694090847426181]
     id:80 |fitness:[80, 0.6693360401452442]
     id:94 |fitness:[94, 0.667624832859741]
     id:63 |fitness:[63, 0.63529527989645]
     id:64 |fitness:[64, 0.6201719931370074]

Gen: 4
     id:58 |fitness:[58, 0.6694090847426181]
     id:80 |fitness:[80, 0.6693360401452442]
     id:39 |fitness:[39, 0.667624832859741]
     id:74 |fitness:[74, 0.667624832859741]
     id:94 |fitness:[94, 0.667624832859741]
     id:12 |fitness:[12, 0.6592790443369066]
     id:3 |fitness:[3, 0.6567999165642131]
     id:63 |fitness:[63, 0.63529527989645]
     id:96 |fitness:[96, 0.6329021827672048]
     id:64 |fitness:[64, 0.6201719931370074]

Gen: 5
     id:12 |fitness:[12, 0.6592790443369066]
     id:92 |fitness:[92, 0.6574703005715463]
     id:3 |fitness:[3, 0.6567999165642131]
     id:87 |fitness:[87, 0.6528654100364947]
     id:36 |fitness:[36, 0.6500013133120398]
     id:63 |fitness:[63, 0.63529527989645]
     id:83 |fitness:[83, 0.6329021827672048]
     id:96 |fitness:[96, 0.6329021827672048]
     id:0 |fitness:[0, 0.6201719931370074]
     id:64 |fitness:[64, 0.6201719931370074]

Gen: 6
     id:77 |fitness:[77, 0.6500013133120398]
     id:79 |fitness:[79, 0.641537109539449]
     id:63 |fitness:[63, 0.63529527989645]
     id:83 |fitness:[83, 0.6329021827672048]
     id:84 |fitness:[84, 0.6329021827672048]
     id:96 |fitness:[96, 0.6329021827672048]
     id:0 |fitness:[0, 0.6201719931370074]
     id:52 |fitness:[52, 0.6201719931370074]
     id:64 |fitness:[64, 0.6201719931370074]
     id:76 |fitness:[76, 0.6201719931370074]

Gen: 7
     id:0 |fitness:[0, 0.6201719931370074]
     id:19 |fitness:[19, 0.6201719931370074]
     id:30 |fitness:[30, 0.6201719931370074]
     id:52 |fitness:[52, 0.6201719931370074]
     id:53 |fitness:[53, 0.6201719931370074]
     id:64 |fitness:[64, 0.6201719931370074]
     id:72 |fitness:[72, 0.6201719931370074]
     id:76 |fitness:[76, 0.6201719931370074]
     id:15 |fitness:[15, 0.5980915316890688]
     id:45 |fitness:[45, 0.5980915316890688]

Gen: 8
     id:64 |fitness:[64, 0.6201719931370074]
     id:70 |fitness:[70, 0.6201719931370074]
     id:72 |fitness:[72, 0.6201719931370074]
     id:76 |fitness:[76, 0.6201719931370074]
     id:93 |fitness:[93, 0.6201719931370074]
     id:91 |fitness:[91, 0.6194112245459599]
     id:98 |fitness:[98, 0.602826662645616]
     id:15 |fitness:[15, 0.5980915316890688]
     id:45 |fitness:[45, 0.5980915316890688]
     id:62 |fitness:[62, 0.5980915316890688]

Gen: 9
     id:65 |fitness:[65, 0.602826662645616]
     id:71 |fitness:[71, 0.602826662645616]
     id:98 |fitness:[98, 0.602826662645616]
     id:15 |fitness:[15, 0.5980915316890688]
     id:34 |fitness:[34, 0.5980915316890688]
     id:45 |fitness:[45, 0.5980915316890688]
     id:54 |fitness:[54, 0.5980915316890688]
     id:62 |fitness:[62, 0.5980915316890688]
     id:85 |fitness:[85, 0.5980915316890688]
     id:18 |fitness:[18, 0.5758228228314142]

Gen: 10
     id:45 |fitness:[45, 0.5980915316890688]
     id:46 |fitness:[46, 0.5980915316890688]
     id:50 |fitness:[50, 0.5980915316890688]
     id:54 |fitness:[54, 0.5980915316890688]
     id:62 |fitness:[62, 0.5980915316890688]
     id:85 |fitness:[85, 0.5980915316890688]
     id:86 |fitness:[86, 0.5980915316890688]
     id:89 |fitness:[89, 0.5971985952552675]
     id:18 |fitness:[18, 0.5758228228314142]
     id:69 |fitness:[69, 0.5592382609310703]

Gen: 11
     id:62 |fitness:[62, 0.5980915316890688]
     id:79 |fitness:[79, 0.5980915316890688]
     id:85 |fitness:[85, 0.5980915316890688]
     id:86 |fitness:[86, 0.5980915316890688]
     id:88 |fitness:[88, 0.5980915316890688]
     id:92 |fitness:[92, 0.5980915316890688]
     id:89 |fitness:[89, 0.5971985952552675]
     id:18 |fitness:[18, 0.5758228228314142]
     id:31 |fitness:[31, 0.5758228228314142]
     id:69 |fitness:[69, 0.5592382609310703]

Gen: 12
     id:89 |fitness:[89, 0.5971985952552675]
     id:9 |fitness:[9, 0.5758228228314142]
     id:18 |fitness:[18, 0.5758228228314142]
     id:31 |fitness:[31, 0.5758228228314142]
     id:43 |fitness:[43, 0.5758228228314142]
     id:51 |fitness:[51, 0.5758228228314142]
     id:10 |fitness:[10, 0.5592382609310703]
     id:19 |fitness:[19, 0.5592382609310703]
     id:63 |fitness:[63, 0.5592382609310703]
     id:69 |fitness:[69, 0.5592382609310703]

Gen: 13
     id:93 |fitness:[93, 0.5758228228314142]
     id:10 |fitness:[10, 0.5592382609310703]
     id:12 |fitness:[12, 0.5592382609310703]
     id:17 |fitness:[17, 0.5592382609310703]
     id:19 |fitness:[19, 0.5592382609310703]
     id:63 |fitness:[63, 0.5592382609310703]
     id:69 |fitness:[69, 0.5592382609310703]
     id:73 |fitness:[73, 0.5592382609310703]
     id:75 |fitness:[75, 0.5592382609310703]
     id:99 |fitness:[99, 0.5592382609310703]

Gen: 14
     id:59 |fitness:[59, 0.5592382609310703]
