Gen: 1
     id: 0| fitness:0.2805616055101682 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333] |fit^123:[0.15982065194272949, 0.6186616906375274, 0.06320247395024776]
     id: 1| fitness:0.17288332946287777 | w: [0.9, 0.05, 0.05] |fit^123:[0.15198233362229682, 0.6547168170281404, 0.06726776702807205]
     id: 2| fitness:0.6037662719082593 | w: [0.05, 0.9, 0.05] |fit^123:[0.1378238554771785, 0.6595834684082769, 0.06499915133902143]
     id: 3| fitness:0.06361725923565612 | w: [0.05, 0.05, 0.9] |fit^123:[0.15355696468044597, 0.40652155005416174, 0.03957037055436191]
     id: 4| fitness:0.41020603558826174 | w: [0.09689762630018084, 0.5626118198817969, 0.3404905538180223] |fit^123:[0.14573074762338523, 0.668095166557289, 0.059346241259826876]
     id: 5| fitness:0.5334248471640008 | w: [0.12044366121207428, 0.7260320847649897, 0.153524254022936] |fit^123:[0.15255586016513456, 0.6947846575949017, 0.06913896099057365]
     id: 6| fitness:0.36034961364333434 | w: [0.3522900211057779, 0.6196719843357705, 0.028037994558451573] |fit^123:[0.1538099910964038, 0.49185596925826064, 0.04902362589368141]
     id: 7| fitness:0.3910519843371515 | w: [0.47012314629322216, 0.440555936897901, 0.08932091680887683] |fit^123:[0.14225255116634178, 0.7206557921453591, 0.07486017792901882]
     id: 8| fitness:0.24437793498388632 | w: [0.025276360575652523, 0.41764968199240454, 0.557073957431943] |fit^123:[0.14565960686295648, 0.5054912906312019, 0.05309512868598302]
     id: 9| fitness:0.20131518173414936 | w: [0.4398791942571537, 0.17718851304326602, 0.3829322926995803] |fit^123:[0.14659360437229646, 0.6441335304768607, 0.05927586449575049]
     id: 10| fitness:0.25460465890944145 | w: [0.6221649342808993, 0.2583474375740966, 0.11948762814500413] |fit^123:[0.1493853291616978, 0.5985190514971575, 0.058888792293330355]
     id: 11| fitness:0.2110813687286834 | w: [0.6819426866883056, 0.13985776096370073, 0.17819955234799367] |fit^123:[0.16096587150365166, 0.6446514275774275, 0.0625835724073407]
