Gen: 2
     id:1 |Total fit:0.8106157710606425 |fitness:[0.18266106605118318, 0.5595454977162642, 0.06840920729319523]
     id:2 |Total fit:0.9526908188894788 |fitness:[0.1355824217727677, 0.7052038093922414, 0.11190458772446973]
     id:6 |Total fit:0.9295507155261236 |fitness:[0.14600127186235465, 0.6911214912924477, 0.09242795237132123]
     id:7 |Total fit:0.8909940570805304 |fitness:[0.14634864581396625, 0.6513395902226751, 0.09330582104388913]
     id:8 |Total fit:0.8166980443409304 |fitness:[0.16108519622483464, 0.5753287457152971, 0.08028410240079868]
     id:32 |Total fit:1.0145145470213848 |fitness:[0.12958311573118467, 0.7769191583418955, 0.10801227294830472]
     id:33 |Total fit:0.8659615754325373 |fitness:[0.14516796912161364, 0.6268358386793186, 0.09395776763160499]
     id:35 |Total fit:0.8462014157036584 |fitness:[0.14983935928453598, 0.6013607439193914, 0.09500131249973104]
     id:36 |Total fit:0.8204491613513738 |fitness:[0.1510452995370058, 0.5871316450668715, 0.08227221674749657]
     id:37 |Total fit:0.8216564444671756 |fitness:[0.16032294724692328, 0.572462203956173, 0.08887129326407925]
     id:39 |Total fit:0.7459069506153525 |fitness:[0.164682095596522, 0.5014980270940002, 0.07972682792483034]
     id:41 |Total fit:0.992938241879483 |fitness:[0.14398610819988056, 0.7521477477788618, 0.0968043859007406]
     id:42 |Total fit:0.7407351975916138 |fitness:[0.18959157112896138, 0.4708035814503665, 0.08034004501228585]
     id:45 |Total fit:0.899030228997427 |fitness:[0.13952906355482764, 0.6616962674517998, 0.0978048979907996]

Gen: 3
     id:1 |Total fit:0.8106157710606425 |fitness:[0.18266106605118318, 0.5595454977162642, 0.06840920729319523]
     id:2 |Total fit:0.9526908188894788 |fitness:[0.1355824217727677, 0.7052038093922414, 0.11190458772446973]
     id:20 |Total fit:0.7925415287458072 |fitness:[0.1420901569617095, 0.5592735216156244, 0.09117785016847332]
     id:32 |Total fit:1.0145145470213848 |fitness:[0.12958311573118467, 0.7769191583418955, 0.10801227294830472]
     id:34 |Total fit:0.9652153087533765 |fitness:[0.13412147746036482, 0.7172484652777178, 0.11384536601529385]
     id:39 |Total fit:0.7459069506153525 |fitness:[0.164682095596522, 0.5014980270940002, 0.07972682792483034]
     id:40 |Total fit:0.7741075756836673 |fitness:[0.15040936835968047, 0.54658562066673, 0.07711258665725683]
     id:42 |Total fit:0.7407351975916138 |fitness:[0.18959157112896138, 0.4708035814503665, 0.08034004501228585]
     id:45 |Total fit:0.899030228997427 |fitness:[0.13952906355482764, 0.6616962674517998, 0.0978048979907996]

Gen: 4
     id:1 |Total fit:0.8106157710606425 |fitness:[0.18266106605118318, 0.5595454977162642, 0.06840920729319523]
     id:2 |Total fit:0.9526908188894788 |fitness:[0.1355824217727677, 0.7052038093922414, 0.11190458772446973]
     id:12 |Total fit:0.995240674019459 |fitness:[0.1389432647546099, 0.7553812414198016, 0.10091616784504757]
     id:20 |Total fit:0.7925415287458072 |fitness:[0.1420901569617095, 0.5592735216156244, 0.09117785016847332]
     id:27 |Total fit:0.7394360800780932 |fitness:[0.147168527288395, 0.5144363187387216, 0.07783123405097662]
     id:32 |Total fit:1.0145145470213848 |fitness:[0.12958311573118467, 0.7769191583418955, 0.10801227294830472]
     id:34 |Total fit:0.9652153087533765 |fitness:[0.13412147746036482, 0.7172484652777178, 0.11384536601529385]
     id:39 |Total fit:0.7459069506153525 |fitness:[0.164682095596522, 0.5014980270940002, 0.07972682792483034]
     id:40 |Total fit:0.7741075756836673 |fitness:[0.15040936835968047, 0.54658562066673, 0.07711258665725683]
     id:42 |Total fit:0.7407351975916138 |fitness:[0.18959157112896138, 0.4708035814503665, 0.08034004501228585]
     id:45 |Total fit:0.899030228997427 |fitness:[0.13952906355482764, 0.6616962674517998, 0.0978048979907996]

Gen: 5
     id:1 |Total fit:0.8106157710606425 |fitness:[0.18266106605118318, 0.5595454977162642, 0.06840920729319523]
     id:10 |Total fit:0.8476836218144146 |fitness:[0.13431292787687804, 0.6242196876160215, 0.0891510063215151]
     id:20 |Total fit:0.7925415287458072 |fitness:[0.1420901569617095, 0.5592735216156244, 0.09117785016847332]
     id:23 |Total fit:0.7911935161731483 |fitness:[0.14247621573975058, 0.5640309448363394, 0.08468635559705828]
     id:27 |Total fit:0.7394360800780932 |fitness:[0.147168527288395, 0.5144363187387216, 0.07783123405097662]
     id:32 |Total fit:1.0145145470213848 |fitness:[0.12958311573118467, 0.7769191583418955, 0.10801227294830472]
     id:34 |Total fit:0.9652153087533765 |fitness:[0.13412147746036482, 0.7172484652777178, 0.11384536601529385]
     id:39 |Total fit:0.7459069506153525 |fitness:[0.164682095596522, 0.5014980270940002, 0.07972682792483034]
     id:40 |Total fit:0.7741075756836673 |fitness:[0.15040936835968047, 0.54658562066673, 0.07711258665725683]
     id:42 |Total fit:0.7407351975916138 |fitness:[0.18959157112896138, 0.4708035814503665, 0.08034004501228585]

Gen: 6
     id:1 |Total fit:0.8106157710606425 |fitness:[0.18266106605118318, 0.5595454977162642, 0.06840920729319523]
     id:10 |Total fit:0.8476836218144146 |fitness:[0.13431292787687804, 0.6242196876160215, 0.0891510063215151]
     id:16 |Total fit:0.7773120310583885 |fitness:[0.17149615145188496, 0.52907122320172, 0.07674465640478352]
     id:20 |Total fit:0.7925415287458072 |fitness:[0.1420901569617095, 0.5592735216156244, 0.09117785016847332]
     id:23 |Total fit:0.7911935161731483 |fitness:[0.14247621573975058, 0.5640309448363394, 0.08468635559705828]
     id:27 |Total fit:0.7394360800780932 |fitness:[0.147168527288395, 0.5144363187387216, 0.07783123405097662]
