Gen: 2
     id:15 |Total fit:1.0565766627249245 |fitness:[0.1203988819934625, 0.8080419131148424, 0.12813586761661963]
     id:19 |Total fit:0.7486728722567414 |fitness:[0.14842259849253622, 0.5317643547858958, 0.06848591897830932]
     id:35 |Total fit:0.7550990811589006 |fitness:[0.12608947875396959, 0.5483024608204393, 0.08070714158449163]
     id:45 |Total fit:0.8788394552697623 |fitness:[0.12495169184508478, 0.6576819295286018, 0.09620583389607562]
     id:47 |Total fit:0.7412109267099448 |fitness:[0.13925464568617527, 0.5293064357687318, 0.07264984525503773]

Gen: 3
     id:11 |Total fit:0.7311008832334187 |fitness:[0.14071324029909915, 0.5077074205942942, 0.08268022234002538]
     id:15 |Total fit:1.0565766627249245 |fitness:[0.1203988819934625, 0.8080419131148424, 0.12813586761661963]
     id:19 |Total fit:0.7486728722567414 |fitness:[0.14842259849253622, 0.5317643547858958, 0.06848591897830932]
     id:25 |Total fit:0.8965442891315314 |fitness:[0.12483201228710128, 0.6633314128682215, 0.10838086397620865]
     id:30 |Total fit:0.7324410239337675 |fitness:[0.14312968692991182, 0.5124491733019427, 0.07686216370191302]
     id:33 |Total fit:0.9586171806142427 |fitness:[0.12181384343420491, 0.7126224296508761, 0.12418090752916178]
     id:35 |Total fit:0.7550990811589006 |fitness:[0.12608947875396959, 0.5483024608204393, 0.08070714158449163]
     id:42 |Total fit:0.690860899923227 |fitness:[0.15507104727093207, 0.46936719983752034, 0.06642265281477457]
     id:45 |Total fit:0.8788394552697623 |fitness:[0.12495169184508478, 0.6576819295286018, 0.09620583389607562]
     id:47 |Total fit:0.7412109267099448 |fitness:[0.13925464568617527, 0.5293064357687318, 0.07264984525503773]

Gen: 4
     id:6 |Total fit:0.7481901651169194 |fitness:[0.1385012462465083, 0.537857341219675, 0.07183157765073611]
     id:11 |Total fit:0.7311008832334187 |fitness:[0.14071324029909915, 0.5077074205942942, 0.08268022234002538]
     id:15 |Total fit:1.0565766627249245 |fitness:[0.1203988819934625, 0.8080419131148424, 0.12813586761661963]
     id:19 |Total fit:0.7486728722567414 |fitness:[0.14842259849253622, 0.5317643547858958, 0.06848591897830932]
     id:25 |Total fit:0.8965442891315314 |fitness:[0.12483201228710128, 0.6633314128682215, 0.10838086397620865]
     id:30 |Total fit:0.7324410239337675 |fitness:[0.14312968692991182, 0.5124491733019427, 0.07686216370191302]
     id:33 |Total fit:0.9586171806142427 |fitness:[0.12181384343420491, 0.7126224296508761, 0.12418090752916178]
     id:35 |Total fit:0.7550990811589006 |fitness:[0.12608947875396959, 0.5483024608204393, 0.08070714158449163]
     id:42 |Total fit:0.690860899923227 |fitness:[0.15507104727093207, 0.46936719983752034, 0.06642265281477457]
     id:45 |Total fit:0.8788394552697623 |fitness:[0.12495169184508478, 0.6576819295286018, 0.09620583389607562]
     id:47 |Total fit:0.7412109267099448 |fitness:[0.13925464568617527, 0.5293064357687318, 0.07264984525503773]

Gen: 5
     id:6 |Total fit:0.7481901651169194 |fitness:[0.1385012462465083, 0.537857341219675, 0.07183157765073611]
     id:11 |Total fit:0.7311008832334187 |fitness:[0.14071324029909915, 0.5077074205942942, 0.08268022234002538]
     id:15 |Total fit:1.0565766627249245 |fitness:[0.1203988819934625, 0.8080419131148424, 0.12813586761661963]
     id:19 |Total fit:0.7486728722567414 |fitness:[0.14842259849253622, 0.5317643547858958, 0.06848591897830932]
     id:25 |Total fit:0.8965442891315314 |fitness:[0.12483201228710128, 0.6633314128682215, 0.10838086397620865]
     id:30 |Total fit:0.7324410239337675 |fitness:[0.14312968692991182, 0.5124491733019427, 0.07686216370191302]
     id:33 |Total fit:0.9586171806142427 |fitness:[0.12181384343420491, 0.7126224296508761, 0.12418090752916178]
     id:35 |Total fit:0.7550990811589006 |fitness:[0.12608947875396959, 0.5483024608204393, 0.08070714158449163]
     id:36 |Total fit:0.7599736086710275 |fitness:[0.13035389411517329, 0.5444187000799964, 0.0852010144758578]
     id:38 |Total fit:0.7449349399660101 |fitness:[0.1514893871658634, 0.5042961771691239, 0.0891493756310229]
     id:42 |Total fit:0.690860899923227 |fitness:[0.15507104727093207, 0.46936719983752034, 0.06642265281477457]
     id:45 |Total fit:0.8788394552697623 |fitness:[0.12495169184508478, 0.6576819295286018, 0.09620583389607562]
     id:47 |Total fit:0.7412109267099448 |fitness:[0.13925464568617527, 0.5293064357687318, 0.07264984525503773]

Gen: 6
     id:6 |Total fit:0.7481901651169194 |fitness:[0.1385012462465083, 0.537857341219675, 0.07183157765073611]
     id:11 |Total fit:0.7311008832334187 |fitness:[0.14071324029909915, 0.5077074205942942, 0.08268022234002538]
     id:15 |Total fit:1.0565766627249245 |fitness:[0.1203988819934625, 0.8080419131148424, 0.12813586761661963]
     id:19 |Total fit:0.7486728722567414 |fitness:[0.14842259849253622, 0.5317643547858958, 0.06848591897830932]
     id:25 |Total fit:0.8965442891315314 |fitness:[0.12483201228710128, 0.6633314128682215, 0.10838086397620865]
     id:30 |Total fit:0.7324410239337675 |fitness:[0.14312968692991182, 0.5124491733019427, 0.07686216370191302]
     id:33 |Total fit:0.9586171806142427 |fitness:[0.12181384343420491, 0.7126224296508761, 0.12418090752916178]
     id:35 |Total fit:0.7550990811589006 |fitness:[0.12608947875396959, 0.5483024608204393, 0.08070714158449163]
     id:36 |Total fit:0.7599736086710275 |fitness:[0.13035389411517329, 0.5444187000799964, 0.0852010144758578]
     id:38 |Total fit:0.7449349399660101 |fitness:[0.1514893871658634, 0.5042961771691239, 0.0891493756310229]
     id:42 |Total fit:0.690860899923227 |fitness:[0.15507104727093207, 0.46936719983752034, 0.06642265281477457]
     id:45 |Total fit:0.8788394552697623 |fitness:[0.12495169184508478, 0.6576819295286018, 0.09620583389607562]
     id:47 |Total fit:0.7412109267099448 |fitness:[0.13925464568617527, 0.5293064357687318, 0.07264984525503773]

Gen: 7
     id:6 |Total fit:0.7481901651169194 |fitness:[0.1385012462465083, 0.537857341219675, 0.07183157765073611]
     id:11 |Total fit:0.7311008832334187 |fitness:[0.14071324029909915, 0.5077074205942942, 0.08268022234002538]
     id:15 |Total fit:1.0565766627249245 |fitness:[0.1203988819934625, 0.8080419131148424, 0.12813586761661963]
