Gen: 1
     [0.11268205086749454, 0.6086443348691187, 0.101481923456279]
     [0.10381537300779574, 0.8329488877039309, 0.1276134578619875]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10870023332635496, 0.6201357642279832, 0.08863838388758326]
     [0.1023264233633127, 0.8245669744228822, 0.1237807922262947]
     [0.1369087470782386, 0.5972128191148364, 0.09482727128818967]
     [0.10845080835110746, 0.8651464588064012, 0.1330382475067886]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10953625609657514, 0.6612904192154913, 0.11471207822412723]
     [0.10760718537388528, 0.7568586098845465, 0.11785979567234514]
     [0.1041525458275209, 0.8594546663710929, 0.1439121805097232]
     [0.11099756862468727, 0.8266639505832589, 0.12213996079052153]
     [0.11071567003770394, 0.6679707861264057, 0.09566138596982575]
     [0.11147638166581338, 0.5589400085077318, 0.10320494867454916]
     [0.11855148345676761, 0.706836741418874, 0.10698586266941051]
     [0.09845308150392897, 0.7391181915677593, 0.12919036080026303]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10881354550347572, 0.6078474839281756, 0.10428868891784275]
     [0.12524173840225686, 0.7015823182970157, 0.09021833104002533]
     [0.1169899863818109, 0.6817389324593935, 0.09772231896058352]

Gen: 2
     [0.11268205086749454, 0.6086443348691187, 0.101481923456279]
     [0.10381537300779574, 0.8329488877039309, 0.1276134578619875]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10870023332635496, 0.6201357642279832, 0.08863838388758326]
     [0.1023264233633127, 0.8245669744228822, 0.1237807922262947]
     [0.1369087470782386, 0.5972128191148364, 0.09482727128818967]
     [0.10845080835110746, 0.8651464588064012, 0.1330382475067886]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10953625609657514, 0.6612904192154913, 0.11471207822412723]
     [0.10760718537388528, 0.7568586098845465, 0.11785979567234514]
     [0.1041525458275209, 0.8594546663710929, 0.1439121805097232]
     [0.11099756862468727, 0.8266639505832589, 0.12213996079052153]
     [0.11071567003770394, 0.6679707861264057, 0.09566138596982575]
     [0.11147638166581338, 0.5589400085077318, 0.10320494867454916]
     [0.11855148345676761, 0.706836741418874, 0.10698586266941051]
     [0.09845308150392897, 0.7391181915677593, 0.12919036080026303]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10881354550347572, 0.6078474839281756, 0.10428868891784275]
     [0.12524173840225686, 0.7015823182970157, 0.09021833104002533]
     [0.10831054998552506, 0.6874546903365347, 0.10045602328214995]

Gen: 3
     continue

Gen: 4
     [0.11268205086749454, 0.6086443348691187, 0.101481923456279]
     [0.10381537300779574, 0.8329488877039309, 0.1276134578619875]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10870023332635496, 0.6201357642279832, 0.08863838388758326]
     [0.1023264233633127, 0.8245669744228822, 0.1237807922262947]
     [0.1369087470782386, 0.5972128191148364, 0.09482727128818967]
     [0.10845080835110746, 0.8651464588064012, 0.1330382475067886]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10953625609657514, 0.6612904192154913, 0.11471207822412723]
     [0.10760718537388528, 0.7568586098845465, 0.11785979567234514]
     [0.1041525458275209, 0.8594546663710929, 0.1439121805097232]
     [0.11099756862468727, 0.8266639505832589, 0.12213996079052153]
     [0.11071567003770394, 0.6679707861264057, 0.09566138596982575]
     [0.11147638166581338, 0.5589400085077318, 0.10320494867454916]
     [0.11855148345676761, 0.706836741418874, 0.10698586266941051]
     [0.1138393551155266, 0.7085562618703829, 0.11223713210671797]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10881354550347572, 0.6078474839281756, 0.10428868891784275]
     [0.12524173840225686, 0.7015823182970157, 0.09021833104002533]
     [0.10831054998552506, 0.6874546903365347, 0.10045602328214995]

Gen: 5
     continue

Gen: 6
     [0.11268205086749454, 0.6086443348691187, 0.101481923456279]
     [0.10381537300779574, 0.8329488877039309, 0.1276134578619875]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10870023332635496, 0.6201357642279832, 0.08863838388758326]
     [0.1023264233633127, 0.8245669744228822, 0.1237807922262947]
     [0.1369087470782386, 0.5972128191148364, 0.09482727128818967]
     [0.11298467729175606, 0.6520697154702918, 0.11805766959317122]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10953625609657514, 0.6612904192154913, 0.11471207822412723]
     [0.10760718537388528, 0.7568586098845465, 0.11785979567234514]
     [0.1041525458275209, 0.8594546663710929, 0.1439121805097232]
     [0.11099756862468727, 0.8266639505832589, 0.12213996079052153]
     [0.11071567003770394, 0.6679707861264057, 0.09566138596982575]
     [0.11147638166581338, 0.5589400085077318, 0.10320494867454916]
     [0.11855148345676761, 0.706836741418874, 0.10698586266941051]
     [0.11298467729175606, 0.6520697154702918, 0.11805766959317122]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10881354550347572, 0.6078474839281756, 0.10428868891784275]
     [0.12524173840225686, 0.7015823182970157, 0.09021833104002533]
     [0.10831054998552506, 0.6874546903365347, 0.10045602328214995]

Gen: 7
     [0.11268205086749454, 0.6086443348691187, 0.101481923456279]
     [0.10381537300779574, 0.8329488877039309, 0.1276134578619875]
     [0.11617192773723183, 0.5789032215545183, 0.08684534174348234]
     [0.10870023332635496, 0.6201357642279832, 0.08863838388758326]
     [0.1023264233633127, 0.8245669744228822, 0.1237807922262947]
