Gen: 1
     [0.07377385726873906, 0.8924654083175071, 0.13430614575338362]
     [0.07589090862032252, 0.836052866167978, 0.13132967670678972]
     [0.08927556726270378, 0.7264253323514592, 0.16275108107602165]
     [0.08991144737136222, 0.854947482655711, 0.12983208221793743]
     [0.0781767829054721, 0.8187860935622651, 0.14565042400643965]
     [0.0692162262956719, 0.8187860935622651, 0.18037589621670191]
     [0.08100794938370806, 0.8297740397659006, 0.13528894213669293]
     [0.07069210343963492, 0.8187860935622651, 0.15082648495853535]
     [0.08591028502252344, 0.854947482655711, 0.13039368015125705]

Gen: 2
     [0.07377385726873906, 0.8924654083175071, 0.13430614575338362]
     [0.07589090862032252, 0.836052866167978, 0.13132967670678972]
     [0.08927556726270378, 0.7264253323514592, 0.16275108107602165]
     [0.08991144737136222, 0.854947482655711, 0.12983208221793743]
     [0.0781767829054721, 0.8187860935622651, 0.14565042400643965]
     [0.0692162262956719, 0.8187860935622651, 0.18037589621670191]
     [0.08100794938370806, 0.8297740397659006, 0.13528894213669293]
     [0.07069210343963492, 0.8187860935622651, 0.15082648495853535]
     [0.08591028502252344, 0.854947482655711, 0.13039368015125705]

Gen: 3
     [0.07377385726873906, 0.8924654083175071, 0.13430614575338362]
     [0.07589090862032252, 0.836052866167978, 0.13132967670678972]
     [0.08927556726270378, 0.7264253323514592, 0.16275108107602165]
     [0.08991144737136222, 0.854947482655711, 0.12983208221793743]
     [0.0781767829054721, 0.8187860935622651, 0.14565042400643965]
     [0.0692162262956719, 0.8187860935622651, 0.18037589621670191]
     [0.08100794938370806, 0.8297740397659006, 0.13528894213669293]
     [0.07069210343963492, 0.8187860935622651, 0.15082648495853535]
     [0.08591028502252344, 0.854947482655711, 0.13039368015125705]

Gen: 4
     [0.07377385726873906, 0.8924654083175071, 0.13430614575338362]
     [0.07589090862032252, 0.836052866167978, 0.13132967670678972]
     [0.08927556726270378, 0.7264253323514592, 0.16275108107602165]
     [0.0781767829054721, 0.8187860935622651, 0.14565042400643965]
     [0.0692162262956719, 0.8187860935622651, 0.18037589621670191]
     [0.08100794938370806, 0.8297740397659006, 0.13528894213669293]
     [0.07069210343963492, 0.8187860935622651, 0.15082648495853535]
     [0.08499852353462282, 0.8297740397659006, 0.12591961661581086]

Gen: 5
     [0.07377385726873906, 0.8924654083175071, 0.13430614575338362]
     [0.07589090862032252, 0.836052866167978, 0.13132967670678972]
     [0.0692162262956719, 0.8187860935622651, 0.18037589621670191]
     [0.07541738087983219, 0.7154373861478237, 0.1402778037776821]
     [0.08100794938370806, 0.8297740397659006, 0.13528894213669293]
     [0.07069210343963492, 0.8187860935622651, 0.15082648495853535]
     [0.08499852353462282, 0.8297740397659006, 0.12591961661581086]

Gen: 6
     [0.07377385726873906, 0.8924654083175071, 0.13430614575338362]
     [0.07589090862032252, 0.836052866167978, 0.13132967670678972]
     [0.0692162262956719, 0.8187860935622651, 0.18037589621670191]
     [0.07541738087983219, 0.7154373861478237, 0.1402778037776821]
     [0.08100794938370806, 0.8297740397659006, 0.13528894213669293]
     [0.07069210343963492, 0.8187860935622651, 0.15082648495853535]
     [0.08499852353462282, 0.8297740397659006, 0.12591961661581086]

