Gen: 2
     id:4 |Total fit:0.681097186631677 |fitness:[0.10655675295771348, 0.5160265595180752, 0.058513874155888226]
     id:8 |Total fit:0.6358722502290701 |fitness:[0.13996134473468433, 0.4528592943070197, 0.043051611187366064]
     id:19 |Total fit:0.7295680361968426 |fitness:[0.11130520089024247, 0.5644934119469054, 0.05376942335969479]
     id:20 |Total fit:0.6697351632211437 |fitness:[0.13510600913669907, 0.48458926034546884, 0.05003989373897572]
     id:26 |Total fit:0.7398366478082297 |fitness:[0.10853051423216586, 0.5781633934723095, 0.05314274010375429]
     id:30 |Total fit:0.8199960803149057 |fitness:[0.10270294014290735, 0.6549335707186801, 0.06235956945331821]
     id:32 |Total fit:0.8524975638120708 |fitness:[0.10265754949045332, 0.6819625752245304, 0.06787743909708699]
     id:34 |Total fit:0.7234700282774895 |fitness:[0.12555054468782945, 0.5419092854660414, 0.05601019812361862]
     id:44 |Total fit:0.8756933458345985 |fitness:[0.0970276443715591, 0.7081806486229414, 0.07048505284009794]

Gen: 3
     id:4 |Total fit:0.681097186631677 |fitness:[0.10655675295771348, 0.5160265595180752, 0.058513874155888226]
     id:7 |Total fit:0.7950380659561307 |fitness:[0.08880900784819024, 0.638550323457859, 0.06767873465008147]
     id:8 |Total fit:0.6358722502290701 |fitness:[0.13996134473468433, 0.4528592943070197, 0.043051611187366064]
     id:19 |Total fit:0.7295680361968426 |fitness:[0.11130520089024247, 0.5644934119469054, 0.05376942335969479]
     id:20 |Total fit:0.6697351632211437 |fitness:[0.13510600913669907, 0.48458926034546884, 0.05003989373897572]
     id:26 |Total fit:0.7398366478082297 |fitness:[0.10853051423216586, 0.5781633934723095, 0.05314274010375429]
     id:30 |Total fit:0.8199960803149057 |fitness:[0.10270294014290735, 0.6549335707186801, 0.06235956945331821]
     id:34 |Total fit:0.7234700282774895 |fitness:[0.12555054468782945, 0.5419092854660414, 0.05601019812361862]
     id:47 |Total fit:0.8053304176899716 |fitness:[0.09024540236617079, 0.6519520270229073, 0.06313298830089356]

Gen: 4
     id:4 |Total fit:0.681097186631677 |fitness:[0.10655675295771348, 0.5160265595180752, 0.058513874155888226]
     id:6 |Total fit:0.582937120096519 |fitness:[0.11554995900199133, 0.4224463291648629, 0.04494083192966474]
     id:7 |Total fit:0.7950380659561307 |fitness:[0.08880900784819024, 0.638550323457859, 0.06767873465008147]
     id:8 |Total fit:0.6358722502290701 |fitness:[0.13996134473468433, 0.4528592943070197, 0.043051611187366064]
     id:19 |Total fit:0.7295680361968426 |fitness:[0.11130520089024247, 0.5644934119469054, 0.05376942335969479]
     id:26 |Total fit:0.7398366478082297 |fitness:[0.10853051423216586, 0.5781633934723095, 0.05314274010375429]
     id:30 |Total fit:0.8199960803149057 |fitness:[0.10270294014290735, 0.6549335707186801, 0.06235956945331821]
     id:47 |Total fit:0.8053304176899716 |fitness:[0.09024540236617079, 0.6519520270229073, 0.06313298830089356]

Gen: 5
     id:4 |Total fit:0.681097186631677 |fitness:[0.10655675295771348, 0.5160265595180752, 0.058513874155888226]
     id:6 |Total fit:0.582937120096519 |fitness:[0.11554995900199133, 0.4224463291648629, 0.04494083192966474]
     id:7 |Total fit:0.7950380659561307 |fitness:[0.08880900784819024, 0.638550323457859, 0.06767873465008147]
     id:8 |Total fit:0.6358722502290701 |fitness:[0.13996134473468433, 0.4528592943070197, 0.043051611187366064]
     id:19 |Total fit:0.7295680361968426 |fitness:[0.11130520089024247, 0.5644934119469054, 0.05376942335969479]
     id:26 |Total fit:0.7398366478082297 |fitness:[0.10853051423216586, 0.5781633934723095, 0.05314274010375429]
     id:30 |Total fit:0.8199960803149057 |fitness:[0.10270294014290735, 0.6549335707186801, 0.06235956945331821]
     id:43 |Total fit:0.8008219233071511 |fitness:[0.0874165397680684, 0.6468791346816333, 0.06652624885744943]
     id:47 |Total fit:0.8053304176899716 |fitness:[0.09024540236617079, 0.6519520270229073, 0.06313298830089356]

Gen: 6
     id:4 |Total fit:0.681097186631677 |fitness:[0.10655675295771348, 0.5160265595180752, 0.058513874155888226]
     id:6 |Total fit:0.582937120096519 |fitness:[0.11554995900199133, 0.4224463291648629, 0.04494083192966474]
     id:7 |Total fit:0.7950380659561307 |fitness:[0.08880900784819024, 0.638550323457859, 0.06767873465008147]
     id:8 |Total fit:0.6358722502290701 |fitness:[0.13996134473468433, 0.4528592943070197, 0.043051611187366064]
     id:19 |Total fit:0.7295680361968426 |fitness:[0.11130520089024247, 0.5644934119469054, 0.05376942335969479]
