Gen: 2
     id:7 |Total fit:1.2569067212789362 |fitness:[0.06790093682022298, 1.0, 0.1890057844587132]
     id:8 |Total fit:1.0514566937322338 |fitness:[0.07764149067709172, 0.8187860935622651, 0.15502910949287707]
     id:16 |Total fit:0.9358896703497253 |fitness:[0.08900674468207759, 0.6847215224216116, 0.16216140324603606]
     id:17 |Total fit:1.0504953040982177 |fitness:[0.07610914314420067, 0.8187860935622651, 0.155600067391752]
     id:21 |Total fit:1.0605605011671437 |fitness:[0.07883678057606855, 0.8297740397659006, 0.15194968082517457]
     id:24 |Total fit:1.0250978076825688 |fitness:[0.08082265592003793, 0.8187860935622651, 0.12548905820026582]
     id:33 |Total fit:1.0809881970169426 |fitness:[0.08017501114701948, 0.854947482655711, 0.14586570321421216]
     id:39 |Total fit:1.0743261604346295 |fitness:[0.08069206814564184, 0.854947482655711, 0.13868660963327656]
     id:40 |Total fit:1.0584489636326726 |fitness:[0.07207268680228188, 0.8187860935622651, 0.16759018326812558]

Gen: 3
     id:7 |Total fit:1.2569067212789362 |fitness:[0.06790093682022298, 1.0, 0.1890057844587132]
     id:8 |Total fit:1.0514566937322338 |fitness:[0.07764149067709172, 0.8187860935622651, 0.15502910949287707]
     id:16 |Total fit:0.9358896703497253 |fitness:[0.08900674468207759, 0.6847215224216116, 0.16216140324603606]
     id:17 |Total fit:1.0504953040982177 |fitness:[0.07610914314420067, 0.8187860935622651, 0.155600067391752]
     id:21 |Total fit:1.0605605011671437 |fitness:[0.07883678057606855, 0.8297740397659006, 0.15194968082517457]
     id:24 |Total fit:1.0250978076825688 |fitness:[0.08082265592003793, 0.8187860935622651, 0.12548905820026582]
     id:33 |Total fit:1.0809881970169426 |fitness:[0.08017501114701948, 0.854947482655711, 0.14586570321421216]
     id:39 |Total fit:1.0743261604346295 |fitness:[0.08069206814564184, 0.854947482655711, 0.13868660963327656]
     id:40 |Total fit:1.0584489636326726 |fitness:[0.07207268680228188, 0.8187860935622651, 0.16759018326812558]

Gen: 4
     id:7 |Total fit:1.2569067212789362 |fitness:[0.06790093682022298, 1.0, 0.1890057844587132]
     id:8 |Total fit:1.0514566937322338 |fitness:[0.07764149067709172, 0.8187860935622651, 0.15502910949287707]
     id:16 |Total fit:0.9358896703497253 |fitness:[0.08900674468207759, 0.6847215224216116, 0.16216140324603606]
     id:17 |Total fit:1.0504953040982177 |fitness:[0.07610914314420067, 0.8187860935622651, 0.155600067391752]
     id:21 |Total fit:1.0605605011671437 |fitness:[0.07883678057606855, 0.8297740397659006, 0.15194968082517457]
     id:23 |Total fit:1.24571997685674 |fitness:[0.06984622407215034, 1.0, 0.17587375278458975]
     id:24 |Total fit:1.0250978076825688 |fitness:[0.08082265592003793, 0.8187860935622651, 0.12548905820026582]
     id:28 |Total fit:1.0545783514328884 |fitness:[0.07830384128056019, 0.836052866167978, 0.14022164398435014]
     id:35 |Total fit:1.0063434664489277 |fitness:[0.07968207171033515, 0.7891167009030657, 0.1375446938355267]
     id:36 |Total fit:1.231960856495189 |fitness:[0.07495679427013786, 1.0, 0.157004062225051]
     id:40 |Total fit:1.0584489636326726 |fitness:[0.07207268680228188, 0.8187860935622651, 0.16759018326812558]

