Gen: 1
     id: 0| fitness:0.29698861650434927 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.1809052297878769 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.6108007429794141 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.10741189759452918 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.18391468156009114 | w: [0.4790586885107939, 0.17849548369205717, 0.34244582779714894]
     id: 5| fitness:0.5485713844637968 | w: [0.21999453909253153, 0.7515152438382303, 0.028490217069238155]
     id: 6| fitness:0.1732422432298568 | w: [0.4190821132542457, 0.12448714381714805, 0.45643074292860625]
     id: 7| fitness:0.2970410079927972 | w: [0.4287536949013483, 0.37744389449866383, 0.19380241059998787]
     id: 8| fitness:0.17749870887350297 | w: [0.8174514347903785, 0.061743647200333, 0.12080491800928848]
     id: 9| fitness:0.21923266690530346 | w: [0.5915213870345822, 0.19477222044400302, 0.21370639252141474]
     id: 10| fitness:0.23568106881887146 | w: [0.06818745920636393, 0.28171153886575273, 0.6501010019278833]
     id: 11| fitness:0.18878850158514304 | w: [0.021089054129993068, 0.2719709846784902, 0.7069399611915168]
     id: 12| fitness:0.23948784332800507 | w: [0.044988252689911024, 0.2924327841399271, 0.6625789631701618]
     id: 13| fitness:0.2121274702055214 | w: [0.0896908473936967, 0.2795469891392086, 0.6307621634670947]
     id: 14| fitness:0.1631692780721824 | w: [0.7355302107865642, 0.09288136814201135, 0.1715884210714244]
     id: 15| fitness:0.17661082625423455 | w: [0.9347071718044458, 0.04841991962746807, 0.016872908568086084]
     id: 16| fitness:0.22368320974022798 | w: [0.44470742185940615, 0.23319882613109308, 0.32209375200950074]
     id: 17| fitness:0.1810002567125359 | w: [0.21490053069283843, 0.16805943601737675, 0.6170400332897849]
     id: 18| fitness:0.24977266298134607 | w: [0.4193729305830183, 0.2433329260166737, 0.33729414340030806]
     id: 19| fitness:0.44741431381676106 | w: [0.22326773781850207, 0.6830507231372193, 0.09368153904427867]

Gen:new 2
     continue len = 0

Gen:new 3
     continue len = 0

Gen: 4
     id: 0| fitness:0.29698861650434927 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.1809052297878769 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.6108007429794141 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.10741189759452918 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.18391468156009114 | w: [0.4790586885107939, 0.17849548369205717, 0.34244582779714894]
     id: 5| fitness:0.5485713844637968 | w: [0.21999453909253153, 0.7515152438382303, 0.028490217069238155]
     id: 6| fitness:0.1732422432298568 | w: [0.4190821132542457, 0.12448714381714805, 0.45643074292860625]
     id: 7| fitness:0.2970410079927972 | w: [0.4287536949013483, 0.37744389449866383, 0.19380241059998787]
     id: 8| fitness:0.17749870887350297 | w: [0.8174514347903785, 0.061743647200333, 0.12080491800928848]
     id: 9| fitness:0.21923266690530346 | w: [0.5915213870345822, 0.19477222044400302, 0.21370639252141474]
     id: 10| fitness:0.18918540152440527 | w: [0.06818745920636393, 0.28171153886575273, 0.6501010019278833]
     id: 11| fitness:0.18878850158514304 | w: [0.021089054129993068, 0.2719709846784902, 0.7069399611915168]
     id: 12| fitness:0.19163990435888947 | w: [0.044988252689911024, 0.2924327841399271, 0.6625789631701618]
     id: 13| fitness:0.19049395704087838 | w: [0.0896908473936967, 0.2795469891392086, 0.6307621634670947]
     id: 14| fitness:0.1631692780721824 | w: [0.7355302107865642, 0.09288136814201135, 0.1715884210714244]
     id: 15| fitness:0.17661082625423455 | w: [0.9347071718044458, 0.04841991962746807, 0.016872908568086084]
     id: 16| fitness:0.22368320974022798 | w: [0.44470742185940615, 0.23319882613109308, 0.32209375200950074]
     id: 17| fitness:0.1810002567125359 | w: [0.21490053069283843, 0.16805943601737675, 0.6170400332897849]
     id: 18| fitness:0.24977266298134607 | w: [0.4193729305830183, 0.2433329260166737, 0.33729414340030806]
     id: 19| fitness:0.44741431381676106 | w: [0.22326773781850207, 0.6830507231372193, 0.09368153904427867]

Gen: 5
