Gen: 2
     id:4 |Total fit:0.6955890142810325 |fitness:[0.1321639746136443, 0.5128447726197577, 0.05058026704763052]
     id:6 |Total fit:0.6933554113785333 |fitness:[0.14504964904163375, 0.4987926530780148, 0.04951310925888473]
     id:15 |Total fit:0.6300285420572379 |fitness:[0.163023726942447, 0.42233694646126, 0.044667868653530875]
     id:25 |Total fit:0.8460090679281803 |fitness:[0.1261078699789993, 0.6565128859088011, 0.06338831204037987]
     id:34 |Total fit:0.7043748398064924 |fitness:[0.12834767200902647, 0.518624406096382, 0.05740276170108394]
     id:38 |Total fit:0.6714983016279719 |fitness:[0.14317048818755196, 0.47877167362553735, 0.04955613981488255]
     id:39 |Total fit:0.6309479485548194 |fitness:[0.16970196659604594, 0.418301487072955, 0.04294449488581842]
     id:46 |Total fit:0.648781913651898 |fitness:[0.14554364627942384, 0.4586478537197392, 0.044590413652734806]

Gen: 3
     id:4 |Total fit:0.6955890142810325 |fitness:[0.1321639746136443, 0.5128447726197577, 0.05058026704763052]
     id:6 |Total fit:0.6933554113785333 |fitness:[0.14504964904163375, 0.4987926530780148, 0.04951310925888473]
     id:15 |Total fit:0.6300285420572379 |fitness:[0.163023726942447, 0.42233694646126, 0.044667868653530875]
     id:25 |Total fit:0.8460090679281803 |fitness:[0.1261078699789993, 0.6565128859088011, 0.06338831204037987]
     id:34 |Total fit:0.7043748398064924 |fitness:[0.12834767200902647, 0.518624406096382, 0.05740276170108394]
     id:38 |Total fit:0.6714983016279719 |fitness:[0.14317048818755196, 0.47877167362553735, 0.04955613981488255]
     id:39 |Total fit:0.6309479485548194 |fitness:[0.16970196659604594, 0.418301487072955, 0.04294449488581842]
     id:46 |Total fit:0.648781913651898 |fitness:[0.14554364627942384, 0.4586478537197392, 0.044590413652734806]

Gen: 4
     id:4 |Total fit:0.6955890142810325 |fitness:[0.1321639746136443, 0.5128447726197577, 0.05058026704763052]
     id:6 |Total fit:0.6933554113785333 |fitness:[0.14504964904163375, 0.4987926530780148, 0.04951310925888473]
     id:10 |Total fit:0.6913073330220492 |fitness:[0.14021752113113772, 0.4985129270449824, 0.052576884845929095]
     id:15 |Total fit:0.6300285420572379 |fitness:[0.163023726942447, 0.42233694646126, 0.044667868653530875]
     id:25 |Total fit:0.8460090679281803 |fitness:[0.1261078699789993, 0.6565128859088011, 0.06338831204037987]
     id:34 |Total fit:0.7043748398064924 |fitness:[0.12834767200902647, 0.518624406096382, 0.05740276170108394]
     id:38 |Total fit:0.6714983016279719 |fitness:[0.14317048818755196, 0.47877167362553735, 0.04955613981488255]
     id:39 |Total fit:0.6309479485548194 |fitness:[0.16970196659604594, 0.418301487072955, 0.04294449488581842]
     id:46 |Total fit:0.648781913651898 |fitness:[0.14554364627942384, 0.4586478537197392, 0.044590413652734806]

Gen: 5
     id:4 |Total fit:0.6955890142810325 |fitness:[0.1321639746136443, 0.5128447726197577, 0.05058026704763052]
     id:6 |Total fit:0.6933554113785333 |fitness:[0.14504964904163375, 0.4987926530780148, 0.04951310925888473]
     id:10 |Total fit:0.6913073330220492 |fitness:[0.14021752113113772, 0.4985129270449824, 0.052576884845929095]
     id:15 |Total fit:0.6300285420572379 |fitness:[0.163023726942447, 0.42233694646126, 0.044667868653530875]
     id:25 |Total fit:0.8460090679281803 |fitness:[0.1261078699789993, 0.6565128859088011, 0.06338831204037987]
     id:29 |Total fit:0.6593487519839348 |fitness:[0.1848720883443323, 0.43173656389477366, 0.0427400997448288]
     id:34 |Total fit:0.7043748398064924 |fitness:[0.12834767200902647, 0.518624406096382, 0.05740276170108394]
     id:38 |Total fit:0.6714983016279719 |fitness:[0.14317048818755196, 0.47877167362553735, 0.04955613981488255]
     id:39 |Total fit:0.6309479485548194 |fitness:[0.16970196659604594, 0.418301487072955, 0.04294449488581842]
     id:46 |Total fit:0.648781913651898 |fitness:[0.14554364627942384, 0.4586478537197392, 0.044590413652734806]

Gen: 6
     id:4 |Total fit:0.6955890142810325 |fitness:[0.1321639746136443, 0.5128447726197577, 0.05058026704763052]
     id:6 |Total fit:0.6933554113785333 |fitness:[0.14504964904163375, 0.4987926530780148, 0.04951310925888473]
     id:10 |Total fit:0.6913073330220492 |fitness:[0.14021752113113772, 0.4985129270449824, 0.052576884845929095]
     id:15 |Total fit:0.6300285420572379 |fitness:[0.163023726942447, 0.42233694646126, 0.044667868653530875]
     id:25 |Total fit:0.8460090679281803 |fitness:[0.1261078699789993, 0.6565128859088011, 0.06338831204037987]
     id:29 |Total fit:0.6593487519839348 |fitness:[0.1848720883443323, 0.43173656389477366, 0.0427400997448288]
     id:34 |Total fit:0.7043748398064924 |fitness:[0.12834767200902647, 0.518624406096382, 0.05740276170108394]
     id:38 |Total fit:0.6714983016279719 |fitness:[0.14317048818755196, 0.47877167362553735, 0.04955613981488255]
     id:39 |Total fit:0.6309479485548194 |fitness:[0.16970196659604594, 0.418301487072955, 0.04294449488581842]
     id:46 |Total fit:0.648781913651898 |fitness:[0.14554364627942384, 0.4586478537197392, 0.044590413652734806]

Gen: 7
     id:4 |Total fit:0.6955890142810325 |fitness:[0.1321639746136443, 0.5128447726197577, 0.05058026704763052]
     id:6 |Total fit:0.6933554113785333 |fitness:[0.14504964904163375, 0.4987926530780148, 0.04951310925888473]
     id:10 |Total fit:0.6913073330220492 |fitness:[0.14021752113113772, 0.4985129270449824, 0.052576884845929095]
     id:15 |Total fit:0.6300285420572379 |fitness:[0.163023726942447, 0.42233694646126, 0.044667868653530875]
     id:25 |Total fit:0.8460090679281803 |fitness:[0.1261078699789993, 0.6565128859088011, 0.06338831204037987]
     id:29 |Total fit:0.6593487519839348 |fitness:[0.1848720883443323, 0.43173656389477366, 0.0427400997448288]
     id:31 |Total fit:0.6609444923263385 |fitness:[0.18413631076832804, 0.4364713383656595, 0.04033684319235089]
     id:34 |Total fit:0.7043748398064924 |fitness:[0.12834767200902647, 0.518624406096382, 0.05740276170108394]
     id:38 |Total fit:0.6714983016279719 |fitness:[0.14317048818755196, 0.47877167362553735, 0.04955613981488255]
     id:39 |Total fit:0.6309479485548194 |fitness:[0.16970196659604594, 0.418301487072955, 0.04294449488581842]
     id:46 |Total fit:0.648781913651898 |fitness:[0.14554364627942384, 0.4586478537197392, 0.044590413652734806]

Gen: 8
     id:4 |Total fit:0.6955890142810325 |fitness:[0.1321639746136443, 0.5128447726197577, 0.05058026704763052]
     id:6 |Total fit:0.6933554113785333 |fitness:[0.14504964904163375, 0.4987926530780148, 0.04951310925888473]
     id:10 |Total fit:0.6913073330220492 |fitness:[0.14021752113113772, 0.4985129270449824, 0.052576884845929095]
     id:15 |Total fit:0.6300285420572379 |fitness:[0.163023726942447, 0.42233694646126, 0.044667868653530875]
     id:25 |Total fit:0.8460090679281803 |fitness:[0.1261078699789993, 0.6565128859088011, 0.06338831204037987]
     id:29 |Total fit:0.6593487519839348 |fitness:[0.1848720883443323, 0.43173656389477366, 0.0427400997448288]
     id:31 |Total fit:0.6609444923263385 |fitness:[0.18413631076832804, 0.4364713383656595, 0.04033684319235089]
